track_id,artist_name,track_title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7Cp69rNBwU0gaFT8zxExlE,Village People,Ymca,0.715,0.951,6,-6.488,1,0.132,0.152,0.0,0.302,0.671,126.643,284867
3GCL1PydwsLodcpv0Ll1ch,Taylor Swift,You Belong With Me,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133
0kYUrLVQOfx21xuXu7OGrT,The Killers,All These Things That I've Done,0.557,0.728,6,-6.181,1,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,301573
72jCZdH0Lhg93z6Z4hBjgj,Taylor Swift,I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,217973
76hfruVvmfQbw0eYn1nmeC,DNCE,Cake By The Ocean,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147
3TGRqZ0a2l1LRblBkJoaDx,Carly Rae Jepsen,Call Me Maybe,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400
3bIxTsfeNMO7Nt2J3EUKrA,Taylor Swift,22,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133
6tS3XVuOyu10897O3ae7bi,Katy Perry,California Gurls,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653
6qnM0XXPZOINWA778uNqQ9,Taylor Swift,Welcome To New York,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-06,0.304,0.615,117.024,212600
15DeqWWQB4dcEWzJg15VrN,Taylor Swift,Our Song,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,201107
1vrd6UOGamcKNGnSHJQlSt,Taylor Swift,Love Story,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,235267
4WXzzCof26KJLTK5kK53dS,Taylor Swift,Hey Stephen,0.841,0.544,6,-7.347,1,0.0309,0.194,2.48e-06,0.108,0.831,115.994,254307
1fo2ctLqj3zBhRQKOXprol,Taylor Swift,Style,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000
5xTtaWoae3wi06K5WfVUUH,Taylor Swift,Shake It Off,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,219200
5yEPktRqvIhko5QFF3aBhQ,Taylor Swift,Mean,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,237733
0CLnkxpa3M4eA3HeGaERat,Taylor Swift,Gorgeous,0.794,0.537,7,-6.865,1,0.169,0.079,4.98e-06,0.227,0.418,92.022,209680
7zMcNqs55Mxer82bvZFkpg,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,203040
3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560
6GmUVqe73u5YRfUUynZK6I,Passenger,Let Her Go,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,252733
5Db9VIdDsN5yu3Eu7CT0i4,Sam Smith,Stay With Me,0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,172724
1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran,The A Team,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,258373
1jYiIOC5d6soxkJP81fxq2,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,288877
4lCv7b86sLynZbXhfScfm2,Katy Perry,Firework,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072,227880
